                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5113,                0.74832,                0.89312,                0.92167,                0.89347,                0.91989,                0.43974,                 1.7303,                0.78755,                0.91337,              0.0006634,              0.0006634,              0.0006634
                     36,                 1.5074,                0.74906,                0.88118,                0.92129,                0.90016,                0.93266,                0.47831,                  1.633,                0.76347,                0.89941,              0.0006535,              0.0006535,              0.0006535
                     37,                 1.4977,                0.72856,                0.88469,                0.96233,                0.91425,                0.95076,                0.49431,                 1.6015,                0.74329,                0.89776,              0.0006436,              0.0006436,              0.0006436
                     38,                 1.5104,                0.74268,                 0.8798,                0.94875,                0.88259,                0.93722,                0.44313,                 1.7256,                0.77546,                0.90965,              0.0006337,              0.0006337,              0.0006337
                     39,                 1.4952,                0.74751,                0.88025,                0.95388,                0.90126,                0.95699,                0.49568,                 1.6068,                 0.7304,                0.89624,              0.0006238,              0.0006238,              0.0006238
                     40,                 1.4676,                0.73095,                0.88225,                 0.9132,                 0.9003,                 0.9357,                0.45908,                  1.664,                0.76035,                0.90342,              0.0006139,              0.0006139,              0.0006139
                     41,                 1.4367,                 0.7078,                0.87707,                0.95978,                0.88475,                0.94204,                0.48252,                 1.6578,                0.76483,                0.90583,               0.000604,               0.000604,               0.000604
                     42,                 1.4767,                0.72073,                0.88869,                 0.9567,                 0.9159,                0.95589,                0.48641,                 1.6773,                0.72906,                0.89952,              0.0005941,              0.0005941,              0.0005941
                     43,                  1.472,                0.71529,                0.88075,                0.96408,                0.91179,                0.94325,                0.48636,                  1.633,                0.74982,                0.90245,              0.0005842,              0.0005842,              0.0005842
                     44,                 1.4443,                0.70944,                0.88045,                0.95181,                0.90557,                 0.9404,                0.48416,                  1.644,                0.74858,                0.90203,              0.0005743,              0.0005743,              0.0005743
                     45,                  1.446,                0.70392,                0.87752,                0.95899,                0.89724,                0.94228,                0.48513,                 1.6539,                 0.7496,                0.90131,              0.0005644,              0.0005644,              0.0005644
                     46,                 1.4543,                0.71204,                0.88136,                0.95481,                0.88671,                0.94047,                0.48334,                 1.6329,                0.73072,                0.90112,              0.0005545,              0.0005545,              0.0005545
                     47,                  1.451,                0.71589,                0.86909,                0.96522,                0.90455,                0.94277,                0.47913,                 1.6168,                0.71228,                 0.8958,              0.0005446,              0.0005446,              0.0005446
                     48,                 1.4388,                0.71814,                0.87143,                0.95139,                0.89727,                0.93587,                0.45781,                 1.7268,                0.73819,                 0.9087,              0.0005347,              0.0005347,              0.0005347
                     49,                 1.3945,                0.69325,                0.86735,                0.94686,                0.89667,                0.93393,                0.45982,                 1.6926,                0.73805,                0.90572,              0.0005248,              0.0005248,              0.0005248
                     50,                 1.4225,                0.68999,                0.86842,                0.94662,                0.91967,                0.94983,                0.48437,                 1.6359,                0.73623,                0.89823,              0.0005149,              0.0005149,              0.0005149
                     51,                 1.3828,                 0.6754,                0.86366,                0.94955,                0.91038,                 0.9384,                0.47699,                 1.6499,                0.72689,                0.89732,               0.000505,               0.000505,               0.000505
                     52,                  1.368,                0.66465,                 0.8638,                0.94484,                0.89623,                0.93417,                0.43822,                 1.7716,                0.73663,                0.91384,              0.0004951,              0.0004951,              0.0004951
                     53,                 1.3586,                0.65714,                0.86263,                0.94516,                0.92218,                 0.9413,                0.47515,                 1.6776,                0.71873,                0.90147,              0.0004852,              0.0004852,              0.0004852
                     54,                  1.354,                0.64809,                0.86578,                0.95554,                0.92145,                0.94883,                 0.4844,                 1.6393,                0.68822,                0.89984,              0.0004753,              0.0004753,              0.0004753
                     55,                 1.3602,                0.65814,                0.86362,                0.95991,                0.90705,                0.95152,                0.49469,                 1.6318,                0.70537,                0.89493,              0.0004654,              0.0004654,              0.0004654
                     56,                 1.3663,                0.66492,                0.86272,                 0.9654,                0.91644,                0.95826,                0.49966,                 1.6019,                0.69848,                0.89224,              0.0004555,              0.0004555,              0.0004555
                     57,                 1.3629,                0.65935,                0.86152,                0.96856,                 0.8839,                0.94976,                0.48417,                 1.6054,                0.72214,                0.88762,              0.0004456,              0.0004456,              0.0004456
                     58,                 1.3421,                0.64254,                0.85631,                0.96801,                0.90178,                 0.9563,                0.49665,                 1.6039,                0.70396,                0.89258,              0.0004357,              0.0004357,              0.0004357
                     59,                 1.3482,                0.64272,                0.86102,                 0.9584,                0.91694,                0.95345,                0.49869,                 1.5992,                0.67529,                0.89065,              0.0004258,              0.0004258,              0.0004258
                     60,                 1.2831,                0.60139,                0.86093,                0.97133,                0.91135,                0.95187,                0.50772,                 1.5665,                0.68121,                0.88915,              0.0004159,              0.0004159,              0.0004159
