                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5068,                  6.763,                 1.4965,                 0.5735,                0.61788,                0.60482,                0.26564,                 1.8891,                 1.8907,                 1.1972,             0.00032857,             0.00032857,             0.00032857
                      2,                 1.8562,                   1.91,                 1.1502,                0.68795,                0.73078,                0.65598,                0.31787,                  1.778,                  2.619,                 1.1361,             0.00065535,             0.00065535,             0.00065535
                      3,                 1.7791,                 1.3111,                 1.1282,                0.94267,                 0.8389,                0.92259,                0.46257,                 1.6792,                 1.0563,                 1.1076,             0.00097553,             0.00097553,             0.00097553
                      4,                 1.7733,                 1.1815,                 1.1083,                0.89713,                0.87768,                 0.9182,                0.47569,                 1.6354,                0.87552,                 1.0888,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.7075,                 1.0269,                 1.0883,                 0.9524,                0.91213,                0.94791,                0.46266,                 1.6538,                0.86119,                 1.0838,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.7174,                 1.0383,                 1.1105,                 0.9038,                0.92233,                0.91887,                 0.4723,                 1.6167,                0.88525,                  1.073,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.6696,                0.96622,                 1.0879,                0.89829,                 0.9075,                0.93375,                0.47216,                 1.6368,                0.82103,                 1.0818,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.6898,                0.92666,                 1.1005,                0.96089,                0.93334,                0.96152,                0.48919,                  1.622,                0.77568,                 1.0734,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.6196,                0.90522,                 1.0619,                 0.9616,                0.90046,                0.94865,                0.48818,                  1.642,                0.83607,                 1.0833,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.5832,                0.84321,                 1.0536,                0.94706,                 0.9184,                0.94103,                0.47077,                 1.6612,                0.78617,                  1.094,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.6065,                 0.8661,                 1.0636,                 0.9492,                 0.9485,                0.95815,                0.48539,                 1.6407,                0.79008,                 1.0843,               0.000901,               0.000901,               0.000901
                     12,                 1.5778,                0.83266,                 1.0484,                0.96194,                0.91384,                 0.9502,                 0.4995,                 1.6027,                0.76634,                 1.0642,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.5368,                 0.8056,                 1.0245,                0.97529,                 0.9426,                0.95889,                0.51138,                 1.5955,                0.73613,                 1.0609,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.5657,                0.79013,                 1.0476,                0.96442,                 0.9358,                 0.9644,                0.51449,                 1.6073,                 0.7333,                  1.069,              0.0008713,              0.0008713,              0.0008713
                     15,                 1.5601,                 0.7921,                 1.0212,                0.96042,                0.90665,                0.94501,                0.48091,                 1.6298,                0.75953,                 1.0699,              0.0008614,              0.0008614,              0.0008614
                     16,                 1.5234,                0.78354,                 1.0356,                0.96607,                0.93691,                  0.967,                0.52078,                 1.5899,                 0.7091,                 1.0632,              0.0008515,              0.0008515,              0.0008515
                     17,                 1.5262,                0.76596,                 1.0335,                0.97232,                0.95141,                0.96531,                0.52151,                 1.5505,                0.69065,                 1.0468,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.4989,                0.74365,                 1.0214,                0.96671,                0.95093,                0.96569,                0.50833,                 1.5783,                0.69312,                 1.0633,              0.0008317,              0.0008317,              0.0008317
                     19,                  1.525,                0.74671,                  1.044,                0.96648,                 0.9503,                0.96447,                0.52276,                 1.5672,                0.68038,                 1.0586,              0.0008218,              0.0008218,              0.0008218
                     20,                  1.498,                0.72186,                 1.0363,                0.96928,                0.95776,                 0.9697,                0.52434,                 1.5727,                0.68939,                 1.0514,              0.0008119,              0.0008119,              0.0008119
                     21,                 1.4934,                 0.7218,                 1.0319,                0.96237,                0.95288,                0.96246,                 0.5041,                 1.6086,                 0.6993,                 1.0604,               0.000802,               0.000802,               0.000802
                     22,                 1.5078,                0.74825,                 1.0151,                0.95432,                 0.9523,                0.95229,                0.51944,                 1.5483,                0.68173,                 1.0487,              0.0007921,              0.0007921,              0.0007921
                     23,                 1.4507,                0.72597,                 1.0199,                0.96456,                0.96288,                0.96685,                0.50703,                 1.5942,                0.68164,                 1.0634,              0.0007822,              0.0007822,              0.0007822
                     24,                 1.4655,                0.71124,                 1.0128,                0.96496,                0.95585,                0.96254,                0.52305,                 1.5269,                0.66551,                 1.0394,              0.0007723,              0.0007723,              0.0007723
                     25,                  1.427,                0.68268,                  1.002,                0.97003,                0.95651,                0.96807,                0.50518,                 1.6391,                0.68091,                  1.068,              0.0007624,              0.0007624,              0.0007624
                     26,                 1.4281,                 0.6693,                0.99831,                0.96331,                0.96907,                0.96245,                0.52603,                 1.5671,                0.64632,                 1.0528,              0.0007525,              0.0007525,              0.0007525
                     27,                 1.3863,                0.65678,                0.99409,                0.96765,                0.95219,                0.96542,                0.52555,                 1.5598,                0.65008,                 1.0509,              0.0007426,              0.0007426,              0.0007426
                     28,                  1.406,                 0.6665,                0.99751,                0.97145,                 0.9538,                0.96267,                0.52541,                 1.5619,                 0.6607,                 1.0534,              0.0007327,              0.0007327,              0.0007327
                     29,                 1.4125,                0.66259,                0.99465,                0.97051,                0.95181,                0.96941,                0.53319,                 1.5566,                0.65318,                 1.0465,              0.0007228,              0.0007228,              0.0007228
