                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     30,                 1.4229,                0.66333,                0.99677,                0.96124,                0.94695,                0.96205,                0.51352,                  1.566,                0.65197,                 1.0506,              0.0007129,              0.0007129,              0.0007129
                     31,                 1.3947,                0.64693,                 0.9898,                0.97616,                0.94572,                 0.9691,                0.51947,                 1.5742,                0.66011,                 1.0508,               0.000703,               0.000703,               0.000703
                     32,                 1.4046,                0.66141,                0.98768,                0.96903,                0.96741,                0.97312,                0.53667,                 1.5418,                0.64535,                 1.0432,              0.0006931,              0.0006931,              0.0006931
                     33,                 1.4044,                0.65536,                0.99095,                0.97442,                0.94815,                0.97426,                0.54076,                 1.5456,                0.63858,                 1.0408,              0.0006832,              0.0006832,              0.0006832
                     34,                 1.3594,                0.62465,                0.97904,                0.97505,                0.94199,                0.96586,                0.53244,                 1.5747,                0.64796,                 1.0534,              0.0006733,              0.0006733,              0.0006733
                     35,                 1.3837,                0.64288,                0.98613,                 0.9616,                 0.9363,                0.95521,                0.49946,                 1.6443,                 0.6589,                 1.0639,              0.0006634,              0.0006634,              0.0006634
                     36,                 1.3755,                0.63836,                0.98887,                0.97879,                0.97289,                0.97531,                0.53462,                 1.5128,                0.61454,                  1.031,              0.0006535,              0.0006535,              0.0006535
                     37,                 1.3459,                 0.6229,                0.97441,                0.96871,                0.95584,                0.97432,                0.54523,                 1.5026,                 0.6281,                 1.0311,              0.0006436,              0.0006436,              0.0006436
                     38,                 1.3358,                0.62664,                0.96573,                0.97464,                0.96121,                0.97474,                0.53013,                 1.5473,                0.64697,                 1.0415,              0.0006337,              0.0006337,              0.0006337
                     39,                 1.3333,                0.62601,                0.96359,                0.96667,                0.96252,                0.96693,                0.52845,                  1.546,                0.63894,                 1.0362,              0.0006238,              0.0006238,              0.0006238
                     40,                 1.3216,                0.60255,                0.96764,                0.97616,                0.96304,                0.97823,                0.55291,                 1.4946,                0.61971,                 1.0263,              0.0006139,              0.0006139,              0.0006139
                     41,                 1.3104,                0.61361,                0.96488,                 0.9742,                0.96542,                0.97777,                0.53975,                 1.5358,                0.61995,                 1.0352,               0.000604,               0.000604,               0.000604
                     42,                 1.3136,                0.60947,                0.96567,                0.97702,                0.96622,                 0.9822,                0.54027,                 1.5373,                0.62251,                 1.0398,              0.0005941,              0.0005941,              0.0005941
                     43,                 1.3183,                0.61592,                0.95392,                0.97608,                0.97072,                0.97908,                0.54405,                 1.5477,                0.62341,                 1.0362,              0.0005842,              0.0005842,              0.0005842
                     44,                 1.2906,                0.59288,                0.95863,                0.98008,                0.97973,                0.98058,                 0.5392,                 1.5522,                0.61815,                 1.0393,              0.0005743,              0.0005743,              0.0005743
                     45,                 1.2946,                0.59043,                0.95709,                0.97647,                0.97099,                0.97959,                0.53361,                 1.5499,                0.61674,                 1.0378,              0.0005644,              0.0005644,              0.0005644
                     46,                 1.2979,                0.59903,                0.94833,                0.96915,                0.96584,                0.97085,                 0.5401,                 1.5815,                0.61509,                 1.0519,              0.0005545,              0.0005545,              0.0005545
                     47,                 1.2603,                0.58304,                0.94795,                0.95709,                 0.9686,                0.97379,                0.54791,                 1.5529,                0.60367,                 1.0466,              0.0005446,              0.0005446,              0.0005446
                     48,                 1.2651,                0.57632,                 0.9402,                0.97209,                0.96182,                0.97638,                0.55114,                 1.5149,                0.59992,                 1.0327,              0.0005347,              0.0005347,              0.0005347
                     49,                 1.2296,                0.57003,                0.92792,                  0.972,                0.97499,                0.97724,                 0.5375,                  1.567,                0.60442,                 1.0448,              0.0005248,              0.0005248,              0.0005248
                     50,                 1.2481,                0.56787,                0.94937,                0.97454,                0.96788,                0.97206,                0.53247,                 1.5922,                 0.6128,                 1.0579,              0.0005149,              0.0005149,              0.0005149
                     51,                 1.2462,                0.57406,                0.93538,                0.97319,                0.96837,                0.97023,                0.54059,                  1.548,                0.60315,                 1.0439,               0.000505,               0.000505,               0.000505
                     52,                 1.2414,                 0.5618,                0.93999,                0.96766,                0.96901,                0.97227,                0.52747,                 1.5683,                0.59281,                 1.0494,              0.0004951,              0.0004951,              0.0004951
                     53,                 1.2005,                0.54385,                0.93707,                0.97981,                0.96869,                0.97587,                0.53992,                 1.5504,                0.59571,                  1.044,              0.0004852,              0.0004852,              0.0004852
                     54,                 1.2361,                0.56785,                0.92846,                0.97121,                0.97629,                0.97739,                0.54855,                  1.558,                0.59057,                 1.0428,              0.0004753,              0.0004753,              0.0004753
                     55,                 1.2174,                0.55584,                 0.9333,                0.97323,                0.97254,                0.97727,                 0.5573,                 1.5231,                0.58523,                 1.0335,              0.0004654,              0.0004654,              0.0004654
                     56,                 1.1899,                0.54066,                0.92799,                0.97397,                0.96311,                0.97174,                0.53887,                 1.5798,                0.59184,                 1.0496,              0.0004555,              0.0004555,              0.0004555
                     57,                 1.1704,                0.52989,                 0.9209,                0.97024,                0.96585,                0.97298,                0.54274,                 1.5736,                  0.586,                 1.0543,              0.0004456,              0.0004456,              0.0004456
                     58,                  1.174,                0.52994,                0.92731,                0.98101,                0.97562,                0.97809,                0.55055,                 1.5397,                0.58118,                 1.0467,              0.0004357,              0.0004357,              0.0004357
                     59,                 1.1901,                0.53456,                0.92517,                0.97241,                0.97631,                0.98414,                 0.5584,                 1.5274,                0.57918,                 1.0352,              0.0004258,              0.0004258,              0.0004258
                     60,                 1.1387,                0.51533,                0.91399,                0.97388,                0.97659,                0.98306,                0.54302,                 1.5638,                0.58064,                 1.0511,              0.0004159,              0.0004159,              0.0004159
                     61,                 1.1595,                 0.5254,                  0.927,                0.97205,                0.97879,                0.98008,                0.54768,                 1.5708,                0.58072,                  1.049,               0.000406,               0.000406,               0.000406
                     62,                  1.165,                 0.5246,                0.90907,                0.97027,                0.96788,                0.97226,                0.55896,                 1.5528,                 0.5851,                 1.0491,              0.0003961,              0.0003961,              0.0003961
                     63,                  1.166,                0.52804,                 0.9064,                0.96541,                0.97454,                0.98023,                0.56108,                 1.5165,                0.57576,                 1.0372,              0.0003862,              0.0003862,              0.0003862
                     64,                 1.1255,                0.50543,                0.91465,                 0.9656,                0.97502,                0.97788,                0.55684,                 1.5165,                 0.5675,                 1.0412,              0.0003763,              0.0003763,              0.0003763
                     65,                 1.1135,                0.51009,                0.91002,                0.96159,                0.97541,                0.97254,                 0.5584,                 1.5397,                0.56578,                 1.0494,              0.0003664,              0.0003664,              0.0003664
                     66,                 1.1061,                0.50267,                0.91914,                0.96983,                0.97273,                0.97673,                0.55031,                 1.5664,                 0.5675,                 1.0535,              0.0003565,              0.0003565,              0.0003565
                     67,                 1.0947,                0.50509,                0.90011,                0.97224,                0.97357,                0.97696,                0.54195,                 1.5857,                0.58098,                 1.0613,              0.0003466,              0.0003466,              0.0003466
                     68,                 1.1229,                0.50382,                0.90254,                0.97393,                 0.9721,                0.98369,                0.54998,                 1.5546,                0.57524,                 1.0553,              0.0003367,              0.0003367,              0.0003367
                     69,                 1.1041,                0.49565,                0.91242,                0.96202,                0.96421,                0.97269,                0.55029,                 1.5399,                0.57757,                 1.0446,              0.0003268,              0.0003268,              0.0003268
                     70,                 1.0733,                0.48556,                0.89982,                0.96579,                 0.9774,                0.97789,                0.55133,                 1.5357,                 0.5695,                 1.0488,              0.0003169,              0.0003169,              0.0003169
                     71,                 1.0853,                0.49306,                0.89738,                0.97023,                0.96446,                0.97535,                 0.5622,                  1.557,                0.58413,                 1.0542,               0.000307,               0.000307,               0.000307
                     72,                 1.0461,                 0.4733,                0.88809,                0.97704,                0.97539,                0.97973,                0.54942,                 1.5498,                 0.5767,                  1.052,              0.0002971,              0.0002971,              0.0002971
                     73,                  1.053,                0.48476,                0.89201,                0.97387,                0.97319,                0.98216,                0.54972,                 1.5581,                0.58073,                 1.0607,              0.0002872,              0.0002872,              0.0002872
                     74,                 1.0426,                0.48208,                0.88906,                0.97065,                0.97284,                0.97782,                0.55529,                 1.5493,                0.57023,                 1.0493,              0.0002773,              0.0002773,              0.0002773
                     75,                 1.0326,                0.47086,                0.89377,                0.97295,                0.97272,                0.98011,                0.54832,                  1.539,                 0.5636,                  1.051,              0.0002674,              0.0002674,              0.0002674
                     76,                 1.0299,                0.47039,                0.88496,                0.97357,                  0.974,                 0.9808,                0.55084,                 1.5481,                0.56077,                 1.0595,              0.0002575,              0.0002575,              0.0002575
                     77,                  1.032,                0.46722,                0.89611,                0.97096,                0.98095,                0.98032,                0.55516,                 1.5386,                0.55021,                 1.0529,              0.0002476,              0.0002476,              0.0002476
                     78,                 1.0053,                0.45818,                0.87804,                0.97136,                 0.9818,                0.98256,                0.54721,                 1.5769,                0.56125,                 1.0616,              0.0002377,              0.0002377,              0.0002377
                     79,                0.99746,                0.45288,                0.87784,                 0.9761,                0.97314,                0.97685,                0.54989,                 1.5739,                0.57228,                 1.0696,              0.0002278,              0.0002278,              0.0002278
                     80,                0.98371,                 0.4528,                0.88923,                0.97261,                0.97312,                0.97837,                 0.5526,                 1.5561,                0.55994,                 1.0613,              0.0002179,              0.0002179,              0.0002179
                     81,                0.98697,                0.44732,                0.88535,                0.97456,                0.96843,                0.97483,                0.55248,                 1.5728,                0.56155,                 1.0661,               0.000208,               0.000208,               0.000208
                     82,                0.96718,                0.44561,                0.87998,                0.97546,                0.97574,                0.98029,                0.55641,                 1.5599,                0.56201,                 1.0623,              0.0001981,              0.0001981,              0.0001981
                     83,                0.96667,                0.43582,                0.88171,                0.97548,                0.97397,                0.98092,                0.55752,                 1.5568,                0.56379,                 1.0596,              0.0001882,              0.0001882,              0.0001882
                     84,                0.96993,                0.44468,                0.87596,                0.97476,                0.97898,                0.98425,                0.55376,                 1.5699,                0.55967,                  1.059,              0.0001783,              0.0001783,              0.0001783
                     85,                0.94541,                0.43767,                0.87267,                0.97453,                0.96744,                0.97489,                0.55229,                 1.5686,                0.55648,                 1.0639,              0.0001684,              0.0001684,              0.0001684
                     86,                 0.9322,                0.42955,                0.87673,                0.97565,                0.97255,                0.98256,                0.55936,                 1.5595,                0.56044,                 1.0617,              0.0001585,              0.0001585,              0.0001585
                     87,                0.95068,                0.44142,                 0.8682,                0.97894,                0.97562,                0.98348,                0.55673,                 1.5618,                0.55862,                 1.0614,              0.0001486,              0.0001486,              0.0001486
                     88,                0.92771,                0.43208,                0.86948,                0.97433,                 0.9771,                 0.9829,                0.55542,                 1.5602,                0.56496,                 1.0636,              0.0001387,              0.0001387,              0.0001387
                     89,                0.90681,                0.41878,                0.86911,                0.97661,                0.97516,                0.98473,                0.56102,                 1.5501,                0.55815,                 1.0643,              0.0001288,              0.0001288,              0.0001288
                     90,                0.91336,                0.42464,                0.86426,                0.97621,                0.97511,                0.98456,                0.56105,                 1.5625,                0.56511,                 1.0722,              0.0001189,              0.0001189,              0.0001189
                     91,                0.94812,                0.41218,                0.89794,                0.97422,                0.97569,                0.98024,                0.55157,                 1.5684,                0.55619,                 1.0702,               0.000109,               0.000109,               0.000109
                     92,                0.91599,                0.40299,                0.89512,                0.96926,                 0.9761,                0.97844,                0.55949,                 1.5713,                0.55933,                 1.0696,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.89732,                0.40084,                0.87433,                 0.9731,                0.97365,                0.97919,                0.55304,                 1.5781,                0.56614,                 1.0741,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.89246,                0.39659,                0.88728,                0.96845,                 0.9737,                0.97626,                0.54881,                 1.5818,                0.56269,                 1.0743,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.86817,                0.38978,                 0.8727,                0.96754,                0.97184,                0.97785,                0.55474,                 1.5692,                 0.5623,                 1.0731,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.86402,                0.38748,                0.87068,                0.96913,                0.97174,                0.98004,                0.55816,                 1.5632,                0.55881,                 1.0724,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.86295,                0.38982,                0.87704,                0.96865,                0.97553,                0.97979,                0.55599,                 1.5737,                0.56396,                 1.0758,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.85028,                0.37775,                0.87012,                0.97341,                0.97522,                0.98029,                0.55543,                  1.574,                0.56373,                 1.0786,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.84399,                0.37806,                0.87102,                0.97376,                0.97568,                0.98026,                0.56004,                 1.5674,                0.55812,                 1.0768,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.83866,                0.37526,                0.87316,                0.97679,                0.97854,                0.98214,                0.55892,                 1.5681,                0.56153,                  1.076,               1.99e-05,               1.99e-05,               1.99e-05
